測試次數,期間,訊號,樣本數,Y1(報酬率),Y2(波動率),Y3(夏普)
第 11 次,2015-2019,X2,152093,-0.338569,0.547469,-0.6184
第 11 次,2015-2019,X3,44644,-0.442436,0.557073,-0.7942
第 11 次,2020-2026,X1,587292,-0.444766,0.569176,-0.7814
第 11 次,2020-2026,X2,288321,-0.306500,0.511019,-0.5998
第 11 次,2020-2026,X3,92733,-0.371921,0.514854,-0.7224
第 12 次,2015-2019,X1,301089,-0.524002,0.613460,-0.8542
第 12 次,2015-2019,X2,152923,-0.336479,0.545809,-0.6165
第 12 次,2015-2019,X3,45156,-0.447369,0.561250,-0.7971
第 12 次,2020-2026,X1,587482,-0.445249,0.570427,-0.7806
第 12 次,2020-2026,X2,288417,-0.305701,0.511118,-0.5981
第 12 次,2020-2026,X3,92510,-0.372064,0.513088,-0.7251
第 13 次,2015-2019,X1,300859,-0.526408,0.615956,-0.8546
第 13 次,2015-2019,X2,153145,-0.336315,0.545194,-0.6169
第 13 次,2015-2019,X3,45448,-0.443346,0.558866,-0.7933
第 13 次,2020-2026,X1,588334,-0.443980,0.569490,-0.7796
第 13 次,2020-2026,X2,287748,-0.307590,0.512016,-0.6007
第 13 次,2020-2026,X3,92428,-0.370775,0.511324,-0.7251
第 14 次,2015-2019,X1,300716,-0.524725,0.614750,-0.8536
第 14 次,2015-2019,X2,152043,-0.336245,0.543642,-0.6185
第 14 次,2015-2019,X3,45040,-0.436947,0.552833,-0.7904
第 14 次,2020-2026,X1,588540,-0.444722,0.570176,-0.7800
第 14 次,2020-2026,X2,288705,-0.305519,0.510838,-0.5981
第 14 次,2020-2026,X3,92689,-0.373923,0.515939,-0.7247
第 15 次,2015-2019,X1,300096,-0.524323,0.614840,-0.8528
第 15 次,2015-2019,X2,152753,-0.336099,0.546208,-0.6153
第 15 次,2015-2019,X3,45289,-0.442462,0.559204,-0.7912
第 15 次,2020-2026,X1,587907,-0.445220,0.569792,-0.7814
第 15 次,2020-2026,X2,288688,-0.306278,0.511164,-0.5992
第 15 次,2020-2026,X3,92784,-0.371344,0.512294,-0.7249
第 16 次,2015-2019,X1,300629,-0.524922,0.615243,-0.8532
第 16 次,2015-2019,X2,153104,-0.332787,0.544197,-0.6115
第 16 次,2015-2019,X3,45268,-0.441998,0.561044,-0.7878
第 16 次,2020-2026,X1,586567,-0.444376,0.568926,-0.7811
第 16 次,2020-2026,X2,287881,-0.304336,0.509409,-0.5974
第 16 次,2020-2026,X3,92507,-0.371818,0.513444,-0.7242
第 17 次,2015-2019,X1,300993,-0.525551,0.615035,-0.8545
第 17 次,2015-2019,X2,152565,-0.336279,0.545212,-0.6168
第 17 次,2015-2019,X3,44817,-0.440378,0.552417,-0.7972
第 17 次,2020-2026,X1,587337,-0.443924,0.569494,-0.7795
第 17 次,2020-2026,X2,287776,-0.306748,0.511146,-0.6001
第 17 次,2020-2026,X3,92301,-0.368984,0.511196,-0.7218
第 18 次,2015-2019,X1,300243,-0.527279,0.615444,-0.8567
第 18 次,2015-2019,X2,152228,-0.334253,0.544925,-0.6134
第 18 次,2015-2019,X3,45014,-0.441085,0.557046,-0.7918
第 18 次,2020-2026,X1,587713,-0.444297,0.570504,-0.7788
第 18 次,2020-2026,X2,288077,-0.305920,0.511927,-0.5976
第 18 次,2020-2026,X3,92517,-0.369298,0.512097,-0.7211
第 19 次,2015-2019,X1,300488,-0.524883,0.614081,-0.8547
第 19 次,2015-2019,X2,153012,-0.336885,0.545620,-0.6174
第 19 次,2015-2019,X3,45276,-0.441352,0.553556,-0.7973
第 19 次,2020-2026,X1,587811,-0.444477,0.569812,-0.7800
第 19 次,2020-2026,X2,288129,-0.305185,0.510524,-0.5978
第 19 次,2020-2026,X3,93016,-0.369942,0.512321,-0.7221
第 20 次,2015-2019,X1,300904,-0.526067,0.614597,-0.8560
第 20 次,2015-2019,X2,153099,-0.335389,0.546813,-0.6134
第 20 次,2015-2019,X3,45299,-0.443681,0.557430,-0.7959
第 20 次,2020-2026,X1,587566,-0.444705,0.569937,-0.7803
第 20 次,2020-2026,X2,288079,-0.305634,0.511375,-0.5977
第 20 次,2020-2026,X3,92606,-0.372151,0.510676,-0.7287
第 21 次,2015-2019,X1,300745,-0.525524,0.613520,-0.8566
第 21 次,2015-2019,X2,153220,-0.336429,0.547588,-0.6144
第 21 次,2015-2019,X3,44931,-0.442860,0.555929,-0.7966
第 21 次,2020-2026,X1,588029,-0.444329,0.570757,-0.7785
第 21 次,2020-2026,X2,287789,-0.307477,0.511562,-0.6011
第 21 次,2020-2026,X3,92926,-0.370490,0.512372,-0.7231
第 22 次,2015-2019,X1,300420,-0.524100,0.612756,-0.8553
第 22 次,2015-2019,X2,152872,-0.336979,0.547527,-0.6155
第 22 次,2015-2019,X3,44900,-0.436385,0.553980,-0.7877
第 22 次,2020-2026,X1,588076,-0.445364,0.570325,-0.7809
第 22 次,2020-2026,X2,288121,-0.305124,0.511507,-0.5965
第 22 次,2020-2026,X3,92742,-0.370678,0.511664,-0.7245
第 23 次,2015-2019,X1,300785,-0.525119,0.613307,-0.8562
第 23 次,2015-2019,X2,152456,-0.334056,0.545951,-0.6119
第 23 次,2015-2019,X3,45038,-0.443541,0.560475,-0.7914
第 23 次,2020-2026,X1,587551,-0.443951,0.570220,-0.7786
第 23 次,2020-2026,X2,287965,-0.306221,0.510518,-0.5998
第 23 次,2020-2026,X3,92539,-0.369283,0.510051,-0.7240
第 24 次,2015-2019,X1,299949,-0.525043,0.614545,-0.8544
第 24 次,2015-2019,X2,152842,-0.335510,0.546164,-0.6143
第 24 次,2015-2019,X3,44902,-0.441328,0.559466,-0.7888
第 24 次,2020-2026,X1,586959,-0.445706,0.571301,-0.7802
第 24 次,2020-2026,X2,288603,-0.307285,0.511415,-0.6009
第 24 次,2020-2026,X3,93084,-0.371073,0.513144,-0.7231
第 25 次,2015-2019,X1,300901,-0.524515,0.614614,-0.8534
第 25 次,2015-2019,X2,152969,-0.336928,0.546140,-0.6169
第 25 次,2015-2019,X3,45303,-0.436588,0.552909,-0.7896
第 25 次,2020-2026,X1,587062,-0.444581,0.569584,-0.7805
第 25 次,2020-2026,X2,287333,-0.307037,0.512714,-0.5988
第 25 次,2020-2026,X3,92651,-0.368205,0.510339,-0.7215
第 26 次,2015-2019,X1,300634,-0.526542,0.613471,-0.8583
第 26 次,2015-2019,X2,152299,-0.338067,0.548547,-0.6163
第 26 次,2015-2019,X3,44903,-0.441400,0.554738,-0.7957
第 26 次,2020-2026,X1,587709,-0.444353,0.569318,-0.7805
第 26 次,2020-2026,X2,287958,-0.306189,0.511189,-0.5990
第 26 次,2020-2026,X3,92639,-0.367579,0.511105,-0.7192
第 27 次,2015-2019,X1,300983,-0.525651,0.613566,-0.8567
第 27 次,2015-2019,X2,152792,-0.336864,0.546815,-0.6160
第 27 次,2015-2019,X3,45075,-0.437016,0.550844,-0.7934
第 27 次,2020-2026,X1,587813,-0.444357,0.569715,-0.7800
第 27 次,2020-2026,X2,289139,-0.306580,0.512699,-0.5980
第 27 次,2020-2026,X3,93335,-0.371537,0.512774,-0.7246
第 28 次,2015-2019,X1,300715,-0.524444,0.613530,-0.8548
第 28 次,2015-2019,X2,152591,-0.337644,0.547467,-0.6167
第 28 次,2015-2019,X3,45132,-0.442476,0.558209,-0.7927
第 28 次,2020-2026,X1,586676,-0.444235,0.568811,-0.7810
第 28 次,2020-2026,X2,288813,-0.306511,0.512198,-0.5984
第 28 次,2020-2026,X3,93040,-0.372756,0.512667,-0.7271
第 29 次,2015-2019,X1,300214,-0.525762,0.615272,-0.8545
第 29 次,2015-2019,X2,152730,-0.335817,0.545658,-0.6154
第 29 次,2015-2019,X3,45200,-0.441617,0.556995,-0.7929
第 29 次,2020-2026,X1,588430,-0.444622,0.570762,-0.7790
第 29 次,2020-2026,X2,288375,-0.305725,0.511516,-0.5977
第 29 次,2020-2026,X3,92617,-0.367230,0.511849,-0.7175
第 30 次,2015-2019,X1,300121,-0.524095,0.611550,-0.8570
第 30 次,2015-2019,X2,152373,-0.335059,0.546504,-0.6131
第 30 次,2015-2019,X3,44879,-0.444080,0.560274,-0.7926
第 30 次,2020-2026,X1,587553,-0.445972,0.570322,-0.7820
第 30 次,2020-2026,X2,288928,-0.307345,0.511779,-0.6005
第 30 次,2020-2026,X3,93000,-0.370151,0.512733,-0.7219
第 31 次,2015-2019,X1,300731,-0.526461,0.614588,-0.8566
第 31 次,2015-2019,X2,153504,-0.336714,0.548804,-0.6135
第 31 次,2015-2019,X3,45282,-0.440881,0.555584,-0.7935
第 31 次,2020-2026,X1,588342,-0.444505,0.569671,-0.7803
第 31 次,2020-2026,X2,287755,-0.308175,0.512702,-0.6011
第 31 次,2020-2026,X3,92476,-0.369867,0.511274,-0.7234
第 32 次,2015-2019,X1,300806,-0.524581,0.612338,-0.8567
第 32 次,2015-2019,X2,152493,-0.335252,0.545090,-0.6150
第 32 次,2015-2019,X3,44859,-0.441625,0.554795,-0.7960
第 32 次,2020-2026,X1,586824,-0.444816,0.570215,-0.7801
第 32 次,2020-2026,X2,288929,-0.307574,0.513551,-0.5989
第 32 次,2020-2026,X3,92328,-0.369933,0.510249,-0.7250
第 33 次,2015-2019,X1,300910,-0.527496,0.615315,-0.8573
第 33 次,2015-2019,X2,152773,-0.336545,0.547152,-0.6151
第 33 次,2015-2019,X3,44904,-0.442330,0.559340,-0.7908
第 33 次,2020-2026,X1,587474,-0.444733,0.570698,-0.7793
第 33 次,2020-2026,X2,288139,-0.305560,0.511289,-0.5976
第 33 次,2020-2026,X3,92511,-0.373153,0.514645,-0.7251
第 34 次,2015-2019,X1,300276,-0.525077,0.613552,-0.8558
第 34 次,2015-2019,X2,152871,-0.333402,0.544982,-0.6118
第 34 次,2015-2019,X3,44970,-0.443690,0.555883,-0.7982
第 34 次,2020-2026,X1,587208,-0.443366,0.569008,-0.7792
第 34 次,2020-2026,X2,288299,-0.306611,0.510072,-0.6011
第 34 次,2020-2026,X3,92990,-0.371702,0.514381,-0.7226
第 35 次,2015-2019,X1,300583,-0.525709,0.614368,-0.8557
第 35 次,2015-2019,X2,153066,-0.335437,0.546497,-0.6138
第 35 次,2015-2019,X3,45151,-0.442547,0.559887,-0.7904
第 35 次,2020-2026,X1,587355,-0.444494,0.569281,-0.7808
第 35 次,2020-2026,X2,287521,-0.305589,0.512983,-0.5957
第 35 次,2020-2026,X3,92357,-0.368977,0.512686,-0.7197
第 36 次,2015-2019,X1,301241,-0.524279,0.614255,-0.8535
第 36 次,2015-2019,X2,153341,-0.333204,0.545890,-0.6104
第 36 次,2015-2019,X3,45054,-0.443245,0.556166,-0.7970
第 36 次,2020-2026,X1,587279,-0.445160,0.570598,-0.7802
第 36 次,2020-2026,X2,288243,-0.305948,0.510723,-0.5990
第 36 次,2020-2026,X3,92426,-0.367762,0.509744,-0.7215
第 37 次,2015-2019,X1,300665,-0.526273,0.615749,-0.8547
第 37 次,2015-2019,X2,152419,-0.336827,0.546211,-0.6167
第 37 次,2015-2019,X3,44897,-0.442345,0.556527,-0.7948
第 37 次,2020-2026,X1,586393,-0.444123,0.570107,-0.7790
第 37 次,2020-2026,X2,287828,-0.306376,0.511464,-0.5990
第 37 次,2020-2026,X3,92537,-0.372028,0.514366,-0.7233
第 38 次,2015-2019,X1,300117,-0.524725,0.614120,-0.8544
第 38 次,2015-2019,X2,152330,-0.336250,0.549351,-0.6121
第 38 次,2015-2019,X3,44784,-0.444088,0.560122,-0.7928
第 38 次,2020-2026,X1,587236,-0.445781,0.571334,-0.7802
第 38 次,2020-2026,X2,287892,-0.306577,0.511723,-0.5991
第 38 次,2020-2026,X3,92512,-0.368686,0.509524,-0.7236
第 39 次,2015-2019,X1,301038,-0.524199,0.613597,-0.8543
第 39 次,2015-2019,X2,153007,-0.335121,0.547893,-0.6117
第 39 次,2015-2019,X3,45179,-0.438105,0.554394,-0.7902
第 39 次,2020-2026,X1,587538,-0.445458,0.569987,-0.7815
第 39 次,2020-2026,X2,288127,-0.307376,0.511762,-0.6006
第 39 次,2020-2026,X3,92720,-0.370286,0.513153,-0.7216
第 40 次,2015-2019,X1,299978,-0.524945,0.613668,-0.8554
第 40 次,2015-2019,X2,152323,-0.335164,0.545253,-0.6147
第 40 次,2015-2019,X3,44958,-0.440933,0.555295,-0.7941
第 40 次,2020-2026,X1,587767,-0.443591,0.569245,-0.7793
第 40 次,2020-2026,X2,289146,-0.306806,0.511627,-0.5997
第 40 次,2020-2026,X3,92526,-0.371927,0.512695,-0.7254
第 41 次,2015-2019,X1,301053,-0.523254,0.612822,-0.8538
第 41 次,2015-2019,X2,153160,-0.336161,0.545708,-0.6160
第 41 次,2015-2019,X3,45490,-0.445927,0.559714,-0.7967
第 41 次,2020-2026,X1,587528,-0.445281,0.570367,-0.7807
第 41 次,2020-2026,X2,288097,-0.307322,0.511745,-0.6005
第 41 次,2020-2026,X3,92919,-0.368926,0.512085,-0.7204
第 42 次,2015-2019,X1,300316,-0.524452,0.614129,-0.8540
第 42 次,2015-2019,X2,151966,-0.339867,0.547276,-0.6210
第 42 次,2015-2019,X3,44634,-0.439080,0.554701,-0.7916
第 42 次,2020-2026,X1,587076,-0.444376,0.569848,-0.7798
第 42 次,2020-2026,X2,288664,-0.308837,0.514341,-0.6005
第 42 次,2020-2026,X3,92711,-0.370624,0.513578,-0.7217
第 43 次,2015-2019,X1,300800,-0.525640,0.613881,-0.8563
第 43 次,2015-2019,X2,152261,-0.337333,0.548247,-0.6153
第 43 次,2015-2019,X3,44678,-0.441473,0.552591,-0.7989
第 43 次,2020-2026,X1,587784,-0.444076,0.569340,-0.7800
第 43 次,2020-2026,X2,288406,-0.306342,0.511954,-0.5984
第 43 次,2020-2026,X3,92614,-0.371330,0.509848,-0.7283
第 44 次,2015-2019,X1,300628,-0.524933,0.613595,-0.8555
第 44 次,2015-2019,X2,152875,-0.337433,0.546165,-0.6178
第 44 次,2015-2019,X3,44908,-0.442288,0.559395,-0.7907
第 44 次,2020-2026,X1,587642,-0.444094,0.570283,-0.7787
第 44 次,2020-2026,X2,288470,-0.307092,0.510658,-0.6014
第 44 次,2020-2026,X3,92425,-0.368048,0.510265,-0.7213
第 45 次,2015-2019,X1,299939,-0.525120,0.614340,-0.8548
第 45 次,2015-2019,X2,152805,-0.336438,0.545782,-0.6164
第 45 次,2015-2019,X3,45210,-0.442624,0.557040,-0.7946
第 45 次,2020-2026,X1,587757,-0.444048,0.570201,-0.7788
第 45 次,2020-2026,X2,288757,-0.305841,0.513070,-0.5961
第 45 次,2020-2026,X3,92592,-0.367795,0.512248,-0.7180
第 46 次,2015-2019,X1,300343,-0.525636,0.614017,-0.8561
第 46 次,2015-2019,X2,152959,-0.337649,0.546791,-0.6175
第 46 次,2015-2019,X3,45389,-0.439234,0.552403,-0.7951
第 46 次,2020-2026,X1,586980,-0.444739,0.568816,-0.7819
第 46 次,2020-2026,X2,288314,-0.308335,0.513058,-0.6010
第 46 次,2020-2026,X3,92608,-0.370603,0.512559,-0.7230
第 47 次,2015-2019,X1,299756,-0.525512,0.615727,-0.8535
第 47 次,2015-2019,X2,152644,-0.337640,0.547247,-0.6170
第 47 次,2015-2019,X3,44973,-0.446175,0.557309,-0.8006
第 47 次,2020-2026,X1,587902,-0.444596,0.570540,-0.7793
第 47 次,2020-2026,X2,288810,-0.307159,0.511655,-0.6003
第 47 次,2020-2026,X3,92221,-0.367109,0.507743,-0.7230
第 48 次,2015-2019,X1,300186,-0.525347,0.614650,-0.8547
第 48 次,2015-2019,X2,152731,-0.336432,0.547990,-0.6139
第 48 次,2015-2019,X3,44950,-0.443263,0.556728,-0.7962
第 48 次,2020-2026,X1,587645,-0.443786,0.569597,-0.7791
第 48 次,2020-2026,X2,287402,-0.307549,0.511853,-0.6009
第 48 次,2020-2026,X3,92275,-0.367309,0.508497,-0.7223
第 49 次,2015-2019,X1,300269,-0.524687,0.615098,-0.8530
第 49 次,2015-2019,X2,152820,-0.337294,0.547271,-0.6163
第 49 次,2015-2019,X3,45145,-0.437043,0.554673,-0.7879
第 49 次,2020-2026,X1,587400,-0.443908,0.569766,-0.7791
第 49 次,2020-2026,X2,288759,-0.306968,0.511673,-0.5999
第 49 次,2020-2026,X3,93066,-0.369470,0.513773,-0.7191
第 50 次,2015-2019,X1,300697,-0.526145,0.614616,-0.8561
第 50 次,2015-2019,X2,152409,-0.336927,0.547205,-0.6157
第 50 次,2015-2019,X3,45136,-0.441057,0.556117,-0.7931
第 50 次,2020-2026,X1,588073,-0.444925,0.570873,-0.7794
第 50 次,2020-2026,X2,288093,-0.305031,0.508805,-0.5995
第 50 次,2020-2026,X3,92428,-0.372205,0.512661,-0.7260
第 51 次,2015-2019,X1,300466,-0.525724,0.614098,-0.8561
第 51 次,2015-2019,X2,152275,-0.336401,0.546621,-0.6154
第 51 次,2015-2019,X3,45002,-0.442634,0.555089,-0.7974
第 51 次,2020-2026,X1,587558,-0.444494,0.570485,-0.7792
第 51 次,2020-2026,X2,287285,-0.306484,0.511338,-0.5994
第 51 次,2020-2026,X3,92224,-0.372735,0.512711,-0.7270
第 52 次,2015-2019,X1,300311,-0.523121,0.613658,-0.8525
第 52 次,2015-2019,X2,153031,-0.337264,0.546889,-0.6167
第 52 次,2015-2019,X3,45074,-0.437525,0.553583,-0.7904
第 52 次,2020-2026,X1,587625,-0.443836,0.568264,-0.7810
第 52 次,2020-2026,X2,287473,-0.305763,0.510572,-0.5989
第 52 次,2020-2026,X3,92340,-0.372231,0.515006,-0.7228
第 53 次,2015-2019,X1,300452,-0.526581,0.614086,-0.8575
第 53 次,2015-2019,X2,153442,-0.336516,0.547817,-0.6143
第 53 次,2015-2019,X3,45023,-0.439717,0.554784,-0.7926
第 53 次,2020-2026,X1,587512,-0.443810,0.569912,-0.7787
第 53 次,2020-2026,X2,288447,-0.307399,0.512173,-0.6002
第 53 次,2020-2026,X3,92739,-0.369182,0.510313,-0.7234
第 54 次,2015-2019,X1,300412,-0.526178,0.613713,-0.8574
第 54 次,2015-2019,X2,152804,-0.337828,0.546200,-0.6185
第 54 次,2015-2019,X3,45009,-0.445452,0.558065,-0.7982
第 54 次,2020-2026,X1,588217,-0.444592,0.569721,-0.7804
第 54 次,2020-2026,X2,288315,-0.307378,0.512838,-0.5994
第 54 次,2020-2026,X3,92517,-0.369874,0.512641,-0.7215
第 55 次,2015-2019,X1,300566,-0.525116,0.613301,-0.8562
第 55 次,2015-2019,X2,153119,-0.338935,0.547025,-0.6196
第 55 次,2015-2019,X3,45022,-0.441877,0.553392,-0.7985
第 55 次,2020-2026,X1,587500,-0.444406,0.569541,-0.7803
第 55 次,2020-2026,X2,288633,-0.305771,0.512298,-0.5969
第 55 次,2020-2026,X3,92794,-0.369494,0.512604,-0.7208
第 56 次,2015-2019,X1,300603,-0.524173,0.611984,-0.8565
第 56 次,2015-2019,X2,152240,-0.337449,0.545565,-0.6185
第 56 次,2015-2019,X3,44896,-0.441175,0.557368,-0.7915
第 56 次,2020-2026,X1,586894,-0.445703,0.570393,-0.7814
第 56 次,2020-2026,X2,288136,-0.304056,0.509396,-0.5969
第 56 次,2020-2026,X3,92995,-0.368712,0.513522,-0.7180
第 57 次,2015-2019,X1,300864,-0.526252,0.615365,-0.8552
第 57 次,2015-2019,X2,152410,-0.337301,0.549661,-0.6137
第 57 次,2015-2019,X3,45310,-0.442789,0.553589,-0.7999
第 57 次,2020-2026,X1,587290,-0.444692,0.569971,-0.7802
第 57 次,2020-2026,X2,288054,-0.305025,0.509757,-0.5984
第 57 次,2020-2026,X3,92673,-0.370435,0.511101,-0.7248
第 58 次,2015-2019,X1,300551,-0.525131,0.613304,-0.8562
第 58 次,2015-2019,X2,152623,-0.335964,0.546510,-0.6147
第 58 次,2015-2019,X3,45179,-0.441748,0.559441,-0.7896
第 58 次,2020-2026,X1,588359,-0.444087,0.569254,-0.7801
第 58 次,2020-2026,X2,287370,-0.306239,0.510465,-0.5999
第 58 次,2020-2026,X3,92818,-0.370564,0.509654,-0.7271
第 59 次,2015-2019,X1,300962,-0.524799,0.615144,-0.8531
第 59 次,2015-2019,X2,152598,-0.336943,0.547035,-0.6159
第 59 次,2015-2019,X3,45068,-0.441029,0.552624,-0.7981
第 59 次,2020-2026,X1,587452,-0.445058,0.569384,-0.7816
第 59 次,2020-2026,X2,288500,-0.306861,0.511835,-0.5995
第 59 次,2020-2026,X3,92896,-0.371683,0.514161,-0.7229
第 60 次,2015-2019,X1,300664,-0.526217,0.615887,-0.8544
第 60 次,2015-2019,X2,152760,-0.338539,0.547848,-0.6179
第 60 次,2015-2019,X3,44893,-0.440594,0.554859,-0.7941
第 60 次,2020-2026,X1,586971,-0.443804,0.568977,-0.7800
第 60 次,2020-2026,X2,288316,-0.306645,0.511423,-0.5996
第 60 次,2020-2026,X3,92935,-0.369383,0.509693,-0.7247
第 61 次,2015-2019,X1,300019,-0.525553,0.615741,-0.8535
第 61 次,2015-2019,X2,153568,-0.335985,0.545345,-0.6161
第 61 次,2015-2019,X3,45376,-0.439202,0.553831,-0.7930
第 61 次,2020-2026,X1,587852,-0.444183,0.569813,-0.7795
第 61 次,2020-2026,X2,288129,-0.307007,0.512214,-0.5994
第 61 次,2020-2026,X3,92691,-0.368539,0.508070,-0.7254
第 62 次,2015-2019,X1,300162,-0.525308,0.613822,-0.8558
第 62 次,2015-2019,X2,153077,-0.334717,0.543632,-0.6157
第 62 次,2015-2019,X3,45168,-0.442946,0.558050,-0.7937
第 62 次,2020-2026,X1,587103,-0.444480,0.570787,-0.7787
第 62 次,2020-2026,X2,287937,-0.306468,0.511932,-0.5986
第 62 次,2020-2026,X3,92489,-0.367279,0.508561,-0.7222
第 63 次,2015-2019,X1,300752,-0.526509,0.615385,-0.8556
第 63 次,2015-2019,X2,152599,-0.337639,0.545707,-0.6187
第 63 次,2015-2019,X3,44945,-0.440563,0.554377,-0.7947
第 63 次,2020-2026,X1,587483,-0.444292,0.569185,-0.7806
第 63 次,2020-2026,X2,287574,-0.306185,0.511780,-0.5983
第 63 次,2020-2026,X3,92531,-0.370035,0.513726,-0.7203
第 64 次,2015-2019,X1,300177,-0.525538,0.615550,-0.8538
第 64 次,2015-2019,X2,152908,-0.337345,0.549003,-0.6145
第 64 次,2015-2019,X3,45433,-0.443829,0.554332,-0.8007
第 64 次,2020-2026,X1,587679,-0.443887,0.568675,-0.7806
第 64 次,2020-2026,X2,288853,-0.306293,0.510451,-0.6000
第 64 次,2020-2026,X3,92608,-0.366815,0.508150,-0.7219
第 65 次,2015-2019,X1,299867,-0.525305,0.614065,-0.8555
第 65 次,2015-2019,X2,152691,-0.336792,0.545355,-0.6176
第 65 次,2015-2019,X3,45021,-0.439420,0.556225,-0.7900
第 65 次,2020-2026,X1,588421,-0.444974,0.570922,-0.7794
第 65 次,2020-2026,X2,288829,-0.305330,0.511632,-0.5968
第 65 次,2020-2026,X3,92722,-0.371963,0.511955,-0.7266
第 66 次,2015-2019,X1,300495,-0.527326,0.614301,-0.8584
第 66 次,2015-2019,X2,152283,-0.338241,0.548443,-0.6167
第 66 次,2015-2019,X3,45021,-0.447508,0.558010,-0.8020
第 66 次,2020-2026,X1,588516,-0.444977,0.569039,-0.7820
第 66 次,2020-2026,X2,287522,-0.304652,0.509969,-0.5974
第 66 次,2020-2026,X3,92557,-0.370883,0.512445,-0.7238
第 67 次,2015-2019,X1,300643,-0.524791,0.613534,-0.8554
